CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Schoolchild_or_full-time_student_aged_4_and_over_at_their_non-term-time_address,Density_(number_of_persons_per_Hectare),All_usual_residents,All_usual_residents_in_households,All_usual_residents_in_communal_establishments,All_usual_residents_in_communal_establishments_(including_people_enumerated_as_sleeping_rough)
333,E08000001,Bolton,Local_Authorities,LA,2747,19.79823,276786,274855,1931,1931
334,E08000002,Bury,Local_Authorities,LA,2472,18.60191,185060,183025,2035,2035
335,E08000003,Manchester,Local_Authorities,LA,3736,43.5062,503127,481030,22097,22097
336,E08000004,Oldham,Local_Authorities,LA,2118,15.79722,224897,223170,1727,1727
337,E08000005,Rochdale,Local_Authorities,LA,2083,13.39183,211699,209552,2147,2147
338,E08000006,Salford,Local_Authorities,LA,2045,24.06961,233933,228346,5587,5587
339,E08000007,Stockport,Local_Authorities,LA,3722,22.47112,283275,280915,2360,2360
340,E08000008,Tameside,Local_Authorities,LA,1769,21.25822,219324,217736,1588,1588
341,E08000009,Trafford,Local_Authorities,LA,3435,21.36776,226578,225277,1301,1301
342,E08000010,Wigan,Local_Authorities,LA,2601,16.88966,317849,315794,2055,2055
