CDU_FIELD_NAME,CENSUS_CELLNAME,TOPIC,CATEGORY,TOPIC_DESCRIPTION,
F136983,H01UK0001,Unit,Persons,The unit is for a particular count (e.g. people or households),
F136983,H01UK0001,Population (usual residents),All usual residents in households,"The main population base for statistics from the 2011 Census is the usual resident population as at census day, 27 March 2011. Although the population base for enumeration included non-UK born short-term residents, this population is analysed separately and is not included in the main outputs from the 2011 Census.
<br/> All statistics, unless specified, are produced using only usual residents of the UK.
For 2011 Census purposes, a usual resident of the UK is anyone who, on census day, was in the UK and had stayed or intended to stay in the UK for a period of 12 months or more, or had a permanent UK address and was outside the UK and intended to be outside the UK for less than 12 months.
For information about the main population base for statistics, how other population sub-groups are counted, and all variable definitions, see information about  <a href="http://web.ons.gov.uk/ons/guide-method/census/2011/census-data/2011-census-user-guide/information-by-variable/index.html" target="_blank">variables and classifications</a>.",
F136984,KS101UK0005,Unit,Persons,The unit is for a particular count (e.g. people or households),
F136984,KS101UK0005,Population (usual residents),All usual residents in communal establishments,"The main population base for statistics from the 2011 Census is the usual resident population as at census day, 27 March 2011. Although the population base for enumeration included non-UK born short-term residents, this population is analysed separately and is not included in the main outputs from the 2011 Census.
<br/> All statistics, unless specified, are produced using only usual residents of the UK.
For 2011 Census purposes, a usual resident of the UK is anyone who, on census day, was in the UK and had stayed or intended to stay in the UK for a period of 12 months or more, or had a permanent UK address and was outside the UK and intended to be outside the UK for less than 12 months.
For information about the main population base for statistics, how other population sub-groups are counted, and all variable definitions, see information about  <a href="http://web.ons.gov.uk/ons/guide-method/census/2011/census-data/2011-census-user-guide/information-by-variable/index.html" target="_blank">variables and classifications</a>.",
F136985,QS101UK0003,Unit,Persons,The unit is for a particular count (e.g. people or households),
F136985,QS101UK0003,Population (usual residents),All usual residents in communal establishments (including people enumerated as sleeping rough),"The main population base for statistics from the 2011 Census is the usual resident population as at census day, 27 March 2011. Although the population base for enumeration included non-UK born short-term residents, this population is analysed separately and is not included in the main outputs from the 2011 Census.
<br/> All statistics, unless specified, are produced using only usual residents of the UK.
For 2011 Census purposes, a usual resident of the UK is anyone who, on census day, was in the UK and had stayed or intended to stay in the UK for a period of 12 months or more, or had a permanent UK address and was outside the UK and intended to be outside the UK for less than 12 months.
For information about the main population base for statistics, how other population sub-groups are counted, and all variable definitions, see information about  <a href="http://web.ons.gov.uk/ons/guide-method/census/2011/census-data/2011-census-user-guide/information-by-variable/index.html" target="_blank">variables and classifications</a>.",
F2382,KS101EW0006,Unit,Persons,The unit is for a particular count (e.g. people or households),
F2382,KS101EW0006,Population (usual residents),Schoolchild or full-time student aged 4 and over at their non-term-time address,"The main population base for statistics from the 2011 Census is the usual resident population as at census day, 27 March 2011. Although the population base for enumeration included non-UK born short-term residents, this population is analysed separately and is not included in the main outputs from the 2011 Census.
<br/> All statistics, unless specified, are produced using only usual residents of the UK.
For 2011 Census purposes, a usual resident of the UK is anyone who, on census day, was in the UK and had stayed or intended to stay in the UK for a period of 12 months or more, or had a permanent UK address and was outside the UK and intended to be outside the UK for less than 12 months.
For information about the main population base for statistics, how other population sub-groups are counted, and all variable definitions, see information about  <a href="http://web.ons.gov.uk/ons/guide-method/census/2011/census-data/2011-census-user-guide/information-by-variable/index.html" target="_blank">variables and classifications</a>.",
F2383,QS102EW0003,Unit,Persons,The unit is for a particular count (e.g. people or households),
F2383,QS102EW0003,Population (usual residents),Density (number of persons per Hectare),"The main population base for statistics from the 2011 Census is the usual resident population as at census day, 27 March 2011. Although the population base for enumeration included non-UK born short-term residents, this population is analysed separately and is not included in the main outputs from the 2011 Census.
<br/> All statistics, unless specified, are produced using only usual residents of the UK.
For 2011 Census purposes, a usual resident of the UK is anyone who, on census day, was in the UK and had stayed or intended to stay in the UK for a period of 12 months or more, or had a permanent UK address and was outside the UK and intended to be outside the UK for less than 12 months.
For information about the main population base for statistics, how other population sub-groups are counted, and all variable definitions, see information about  <a href="http://web.ons.gov.uk/ons/guide-method/census/2011/census-data/2011-census-user-guide/information-by-variable/index.html" target="_blank">variables and classifications</a>.",
F2384,QS102EW0001,Unit,Persons,The unit is for a particular count (e.g. people or households),
F2384,QS102EW0001,Population (usual residents),All usual residents,"The main population base for statistics from the 2011 Census is the usual resident population as at census day, 27 March 2011. Although the population base for enumeration included non-UK born short-term residents, this population is analysed separately and is not included in the main outputs from the 2011 Census.
<br/> All statistics, unless specified, are produced using only usual residents of the UK.
For 2011 Census purposes, a usual resident of the UK is anyone who, on census day, was in the UK and had stayed or intended to stay in the UK for a period of 12 months or more, or had a permanent UK address and was outside the UK and intended to be outside the UK for less than 12 months.
For information about the main population base for statistics, how other population sub-groups are counted, and all variable definitions, see information about  <a href="http://web.ons.gov.uk/ons/guide-method/census/2011/census-data/2011-census-user-guide/information-by-variable/index.html" target="_blank">variables and classifications</a>.",
